  0.9479781      0.3333699    
   1.008474      0.3409864    
   1.104509      0.3486220    
   1.259056      0.3517385    
   1.435236      0.3563701    
   1.654028      0.3625241    
   1.927106      0.3717155    
   2.212948      0.3975641    
   2.423716      0.4097452    
   2.733093      0.4401273    
   2.897003      0.4538020    
   3.037554      0.4826210    
   3.425238      0.5084576    
   3.657502      0.5524402    
   3.877047      0.5827816    
   4.006462      0.6146213    
   4.125106      0.6419133    
   4.293611      0.6495154    
   4.534854      0.6828847    
   4.789629      0.7147388    
   5.151497      0.7420595    
   5.401303      0.7633028    
   5.683809      0.7815182    
   6.180198      0.8027853    
   6.671073      0.8164720    
   6.994406      0.8301395    
   7.440723      0.8362408    
   7.772889      0.8438453    
   8.179248      0.8544849    
